Velocity [MPH],Angle of Attack,Port Number,Pressure 1 [psi],Pressure 2 [psi],Pressure 3 [psi],Pressure AVG [psi]
45,15,11,8.70892604166667,3.48357041666667,0,6.09624822916667
45,15,12,12.1924964583333,6.96714083333333,0,9.57981864583332
45,15,13,13.9342816666667,6.96714083333333,0,10.45071125
45,15,14,17.4178520833333,10.45071125,0,13.9342816666667
45,15,15,17.4178520833333,13.9342816666667,0,15.676066875
45,15,16,19.1596372916667,13.9342816666667,0,16.5469594791667
45,15,17,22.6432077083333,13.9342816666667,0,18.2887446875
45,15,18,69.6714083333333,76.6385491666667,0,73.15497875
45,20,1,26.126778125,27.8685633333333,0,26.9976707291667
45,20,2,33.0939189583333,38.3192745833333,0,35.7065967708333
45,20,3,33.0939189583333,34.8357041666667,0,33.9648115625
45,20,4,31.35213375,34.8357041666667,0,33.0939189583333
45,20,5,31.35213375,34.8357041666667,0,33.0939189583333
45,20,6,31.35213375,34.8357041666667,0,33.0939189583333
45,20,7,31.35213375,34.8357041666667,0,33.0939189583333
45,20,8,31.35213375,34.8357041666667,0,33.0939189583333
45,20,9,31.35213375,34.8357041666667,0,33.0939189583333
45,20,10,6.96714083333333,3.48357041666667,0,5.225355625
45,20,11,8.70892604166667,6.96714083333333,0,7.8380334375
45,20,12,10.45071125,10.45071125,0,10.45071125
45,20,13,13.9342816666667,10.45071125,0,12.1924964583334
45,20,14,15.676066875,13.9342816666667,0,14.8051742708334
45,20,15,17.4178520833333,13.9342816666667,0,15.676066875
45,20,16,19.1596372916667,17.4178520833333,0,18.2887446875
45,20,17,22.6432077083333,24.3849929166667,0,23.5141003125
45,20,18,60.9624822916667,62.7042675,0,61.8333748958334
50,0,1,1.64578129921259,-2.74296883202099,0,-0.5485937664042
50,0,2,43.887501312336,43.887501312336,0,43.887501312336
50,0,3,46.0818763779528,52.116407808399,0,49.0991420931759
50,0,4,43.887501312336,44.4360950787402,0,44.1617981955381
50,0,5,41.6931262467192,42.7903137795275,0,42.2417200131234
50,0,6,39.4987511811024,40.0473449475066,0,39.7730480643045
50,0,7,39.4987511811024,39.4987511811024,0,39.4987511811024
50,0,8,34.5614072834645,36.2071885826771,0,35.3842979330708
50,0,9,29.0754696194226,30.7212509186352,0,29.8983602690289
50,0,10,32.915625984252,35.1100010498688,0,34.0128135170604
50,0,11,29.6240633858267,32.915625984252,0,31.2698446850394
50,0,12,26.3325007874016,27.9782820866142,0,27.1553914370079
50,0,13,26.3325007874016,28.5268758530184,0,27.42968832021
50,0,14,27.4296883202099,30.1726571522309,0,28.8011727362204
50,0,15,26.8810945538058,30.1726571522309,0,28.5268758530183
50,0,16,27.4296883202099,30.1726571522309,0,28.8011727362204
50,0,17,28.5268758530184,30.1726571522309,0,29.3497665026246
50,0,18,42.7903137795275,44.4360950787402,0,43.6132044291339
50,5,1,22.4923444225722,19.7493755905512,0,21.1208600065617
50,5,2,63.0882831364829,63.0882831364829,0,63.0882831364829
50,5,3,58.1509392388451,58.1509392388451,0,58.1509392388451
50,5,4,54.3107828740157,53.7621891076115,0,54.0364859908136
50,5,5,51.5678140419947,52.116407808399,0,51.8421109251969
50,5,6,41.144532480315,41.144532480315,0,41.144532480315
50,5,7,40.0473449475066,40.5959387139107,0,40.3216418307087
50,5,8,32.915625984252,36.7557823490813,0,34.8357041666666
50,5,9,30.7212509186352,31.2698446850394,0,30.9955478018373
50,5,10,17.0064067585302,19.200781824147,0,18.1035942913386
50,5,11,18.6521880577427,20.2979693569554,0,19.4750787073491
50,5,12,20.2979693569554,20.2979693569554,0,20.2979693569554
50,5,13,21.943750656168,23.0409381889763,0,22.4923444225721
50,5,14,23.5895319553806,23.5895319553806,0,23.5895319553806
50,5,15,24.1381257217848,24.1381257217848,0,24.1381257217848
50,5,16,24.686719488189,25.2353132545931,0,24.961016371391
50,5,17,25.7839070209974,25.7839070209974,0,25.7839070209974
50,5,18,53.7621891076115,55.4079704068241,0,54.5850797572178
50,10,1,63.0882831364829,65.2826582020997,0,64.1854706692913
50,10,2,77.3517210629921,78.4489085958005,0,77.9003148293963
50,10,3,69.1228145669291,71.3171896325459,0,70.2200020997375
50,10,4,57.602345472441,58.6995330052493,0,58.1509392388452
50,10,5,51.0192202755906,51.5678140419947,0,51.2935171587927
50,10,6,43.887501312336,44.9846888451443,0,44.4360950787402
50,10,7,40.5959387139107,41.6931262467192,0,41.144532480315
50,10,8,35.1100010498688,35.658594816273,0,35.3842979330709
50,10,9,30.1726571522309,31.8184384514435,0,30.9955478018372
50,10,10,8.7775002624672,9.8746877952756,0,9.3260940288714
50,10,11,12.6176566272966,13.1662503937008,0,12.8919535104987
50,10,12,15.9092192257218,17.0064067585302,0,16.457812992126
50,10,13,18.6521880577427,19.200781824147,0,18.9264849409449
50,10,14,20.8465631233595,21.3951568897638,0,21.1208600065616
50,10,15,21.943750656168,21.943750656168,0,21.943750656168
50,10,16,23.0409381889763,24.1381257217848,0,23.5895319553806
50,10,17,24.686719488189,25.2353132545931,0,24.961016371391
50,10,18,71.3171896325459,84.4834400262467,0,77.9003148293963
50,15,1,81.7404711942257,65.2826582020997,0,73.5115646981627
